engine,frame,time_ps_mda,n_res_4p0A,n_res_5p0A,n_res_6p0A,time_ps,time_ns,C4_O1_A,RS_label,RS_label_raw,signed_triple_O1_C5phenyl_C3chain_about_C4
gromacs_1k_timing,96,480.0,12,15,20,480.0,0.48,2.866421937942505,S-like,S_like_by_product_reference,1.2846800088882446
gromacs_1k_timing,97,485.0,10,11,18,485.0,0.485,3.1666066646575928,R-like,R_like_by_product_reference,-1.006882905960083
gromacs_1k_timing,98,490.0,10,15,16,490.0,0.49,2.952711820602417,R-like,R_like_by_product_reference,-1.4945151805877686
gromacs_1k_timing,99,495.0,10,14,15,495.0,0.495,3.157989740371704,R-like,R_like_by_product_reference,-1.2520551681518557
gromacs_1k_timing,100,500.0,10,15,16,500.0,0.5,3.12092924118042,R-like,R_like_by_product_reference,-3.620300054550171
gromacs_1k_timing,101,505.0,10,14,18,505.0,0.505,3.0202345848083496,R-like,R_like_by_product_reference,-0.3097975850105285
gromacs_1k_timing,102,510.0,13,14,19,510.0,0.51,3.085012912750244,R-like,R_like_by_product_reference,-4.834051132202148
gromacs_1k_timing,103,515.0,9,13,17,515.0,0.515,3.231687307357788,R-like,R_like_by_product_reference,-2.096855640411377
gromacs_1k_timing,104,520.0,10,14,16,520.0,0.52,2.8419337272644043,S-like,S_like_by_product_reference,0.7692638635635376
gromacs_1k_timing,105,525.0,11,14,16,525.0,0.525,3.098052263259888,R-like,R_like_by_product_reference,-0.7697123885154724
gromacs_1k_timing,106,530.0,10,14,16,530.0,0.53,3.1970765590667725,R-like,R_like_by_product_reference,-1.852266311645508
gromacs_1k_timing,107,535.0,10,15,16,535.0,0.535,2.9373650550842285,S-like,S_like_by_product_reference,1.340243935585022
gromacs_1k_timing,108,540.0,12,14,17,540.0,0.54,3.114064693450928,R-like,R_like_by_product_reference,-2.797236919403076
gromacs_1k_timing,109,545.0,11,14,18,545.0,0.545,3.312009572982788,R-like,R_like_by_product_reference,-3.6668877601623535
gromacs_1k_timing,110,550.0,10,14,18,550.0,0.55,2.920853614807129,R-like,R_like_by_product_reference,-0.8449364900588989
gromacs_1k_timing,111,555.0,11,14,17,555.0,0.555,3.2203264236450195,R-like,R_like_by_product_reference,-3.760340690612793
gromacs_1k_timing,112,560.0,10,14,18,560.0,0.56,3.222203254699707,R-like,R_like_by_product_reference,-5.069930553436279
gromacs_1k_timing,113,565.0,12,14,21,565.0,0.565,3.818730592727661,R-like,R_like_by_product_reference,-4.9482741355896
gromacs_1k_timing,114,570.0,12,14,19,570.0,0.57,2.9996824264526367,R-like,R_like_by_product_reference,-1.550967812538147
gromacs_1k_timing,115,575.0,11,14,17,575.0,0.575,3.063234329223633,R-like,R_like_by_product_reference,-0.5188771486282349
gromacs_1k_timing,116,580.0,10,14,17,580.0,0.58,3.197667360305786,R-like,R_like_by_product_reference,-2.266117572784424
gromacs_1k_timing,117,585.0,10,15,17,585.0,0.585,3.2755126953125,S-like,S_like_by_product_reference,0.7727938294410706
gromacs_1k_timing,118,590.0,10,15,16,590.0,0.59,2.977266550064087,R-like,R_like_by_product_reference,-0.6286777853965759
gromacs_1k_timing,119,595.0,10,14,17,595.0,0.595,3.484952688217163,R-like,R_like_by_product_reference,-2.1105287075042725
gromacs_1k_timing,120,600.0,8,14,18,600.0,0.6,3.277634620666504,R-like,R_like_by_product_reference,-2.283641576766968
gromacs_1k_timing,121,605.0,11,16,18,605.0,0.605,3.0844943523406982,R-like,R_like_by_product_reference,-3.2162156105041504
gromacs_1k_timing,122,610.0,9,14,15,610.0,0.61,3.141032695770264,R-like,R_like_by_product_reference,-2.64603328704834
gromacs_1k_timing,123,615.0,9,14,17,615.0,0.615,3.232783079147339,R-like,R_like_by_product_reference,-3.306521415710449
gromacs_1k_timing,124,620.0,10,15,16,620.0,0.62,3.2551629543304443,S-like,S_like_by_product_reference,2.6741859912872314
gromacs_1k_timing,125,625.0,12,14,19,625.0,0.625,3.192509174346924,R-like,R_like_by_product_reference,-3.538758516311645
gromacs_1k_timing,126,630.0,10,14,18,630.0,0.63,3.1737349033355717,R-like,R_like_by_product_reference,-1.2512314319610596
